exercise_number,exercise_title,total_correct_plus_static_failure,semgrep_only_count,custom_only_count,both_count,neither_count,semgrep_only_pct,custom_only_pct,both_pct,neither_pct
1,Es.1 Semafori,597,71,132,22,372,11.892797319932999,22.110552763819097,3.6850921273031827,62.311557788944725
2,Es.2 Monitor,526,10,72,0,444,1.9011406844106464,13.688212927756654,0.0,84.4106463878327
3,Es.3 Threads,406,336,0,70,0,82.75862068965517,0.0,17.24137931034483,0.0
4,Es.4 Messaggi,365,14,40,3,308,3.8356164383561646,10.95890410958904,0.821917808219178,84.38356164383562
5,Es.5 Server Multithread,318,258,1,59,0,81.13207547169812,0.3144654088050315,18.553459119496853,0.0
